                           24N   24S   90S     64N   44N   24N   EQU   24S   44S   64S   90S
Year  Glob  NHem  SHem     -90N  -24N  -24S    -90N  -64N  -44N  -24N  -EQU  -24S  -44S  -64S Year
1880   -16   -27    -4     -34   -13    -1     -80   -43   -26   -16   -10    -2     5    65 1880
1881    -7   -16     1     -32    10    -6     -91   -41   -18     9    11    -4    -7    57 1881
1882   -10   -20     0     -29    -5     2    -141   -24   -12    -5    -4     3     4    60 1882
1883   -16   -26    -6     -31   -16     0     -19   -53   -22   -18   -15    -2     7    48 1883
1884   -27   -41   -14     -58   -15   -13    -130   -61   -44   -13   -16   -18    -2    63 1884
1885   -33   -43   -24     -64   -13   -27    -151   -66   -44    -7   -20   -33   -15    80 1885
1886   -31   -42   -20     -55   -19   -21    -159   -47   -39   -21   -18   -19   -20    57 1886
1887   -35   -42   -28     -51   -30   -28    -176   -48   -27   -29   -30   -27   -26    30 1887
1888   -17   -23   -12     -40     9   -28    -130   -41   -23     6    13   -30   -22    14 1888
1889   -10   -17    -4     -28     8   -16     -68   -20   -26     1    14   -15   -15    43 1889
1890   -35   -38   -32     -44   -37   -22    -113   -53   -26   -27   -47   -17   -27    13 1890
1891   -22   -25   -19     -41    -8   -21    -112   -32   -35     0   -16   -17   -23   -18 1891
1892   -27   -39   -15     -42   -30    -7    -114   -64   -16   -34   -26     3   -21     7 1892
1893   -31   -47   -15     -50   -36    -4     -69   -54   -46   -42   -30     8   -20    -6 1893
1894   -30   -38   -21     -32   -33   -23     -95   -32   -17   -49   -18   -14   -34   -40 1894
1895   -22   -30   -14     -39    -7   -25     -66   -51   -26   -15     1   -19   -31   -60 1895
1896   -11   -19    -2     -34    10   -14     -86   -36   -21     5    15   -14   -13    23 1896
1897   -10   -16    -5     -34    17   -23     -56   -46   -23    13    21   -18   -27    38 1897
1898   -26   -27   -26     -33   -22   -26    -113   -20   -22   -19   -26   -27   -20    36 1898
1899   -17   -21   -13     -23   -12   -18    -106    -8   -14   -16    -8   -14   -21    56 1899
1900    -8    -8    -6     -19    17   -29     -55   -12   -15     8    25   -28   -29    25 1900

                           24N   24S   90S     64N   44N   24N   EQU   24S   44S   64S   90S
Year  Glob  NHem  SHem    -90N  -24N  -24S    -90N  -64N  -44N  -24N  -EQU  -24S  -44S  -64S Year
1901   -15   -12   -18     -16    -4   -30     -41   -10   -14    -7    -1   -27   -33    24 1901
1902   -27   -32   -22     -51    -4   -34    -133   -49   -32    -2    -5   -27   -42    -7 1902
1903   -36   -37   -36     -45   -29   -38     -21   -41   -55   -24   -33   -34   -40   -48 1903
1904   -46   -48   -45     -50   -46   -43     -16   -59   -54   -44   -49   -36   -48  -130 1904
1905   -26   -29   -22     -40    -9   -35      -8   -22   -61   -12    -5   -32   -36   -32 1905
1906   -22   -24   -20     -25   -20   -22     -29    -6   -38   -22   -17   -19   -22   -70 1906
1907   -38   -47   -29     -58   -31   -29     -60   -72   -51   -31   -30   -20   -36  -118 1907
1908   -43   -46   -40     -48   -44   -35     -25   -54   -51   -43   -45   -28   -48    69 1908
1909   -48   -50   -47     -53   -48   -43     -77   -61   -43   -45   -52   -36   -52   -55 1909
1910   -43   -44   -42     -41   -49   -37     -58   -24   -48   -50   -49   -32   -45    18 1910
1911   -43   -42   -45     -42   -42   -47     -28   -41   -46   -43   -41   -43   -52     7 1911
1912   -35   -46   -24     -59   -18   -36     -49   -78   -49   -28    -7   -36   -29  -162 1912
1913   -34   -42   -25     -44   -27   -34     -51   -33   -50   -40   -14   -27   -40  -102 1913
1914   -15   -20   -10     -25    -7   -17     -38   -16   -28   -13     0   -15   -18   -35 1914
1915   -14   -14   -12     -23    -1   -21     -59   -16   -18    -1     0   -14   -23  -197 1915
1916   -35   -41   -30     -36   -44   -22     -45   -54   -23   -49   -39   -22   -16  -103 1916
1917   -45   -57   -35     -50   -63   -18     -83   -49   -42   -69   -57   -22    -9     8 1917
1918   -29   -40   -19     -40   -33   -13    -102   -26   -34   -38   -27    -5   -22   -26 1918
1919   -27   -35   -19     -43   -20   -21     -71   -55   -29   -23   -16   -14   -31    21 1919
1920   -27   -30   -23     -25   -25   -31      -2   -20   -34   -38   -12   -18   -48  -113 1920

                           24N   24S   90S     64N   44N   24N   EQU   24S   44S   64S   90S
Year  Glob  NHem  SHem    -90N  -24N  -24S    -90N  -64N  -44N  -24N  -EQU  -24S  -44S  -64S Year
1921   -18   -11   -26       2   -25   -30       1    17    -8   -30   -20   -22   -38   -82 1921
1922   -28   -28   -29     -24   -32   -26     -30   -40   -13   -33   -31   -23   -28   -26 1922
1923   -26   -22   -30     -15   -29   -33      17   -15   -25   -32   -27   -25   -41   -53 1923
1924   -27   -18   -34     -13   -25   -42      46   -25   -22   -27   -24   -38   -45   -52 1924
1925   -22   -14   -29      -4   -24   -37      -7    18   -17   -28   -19   -23   -54   -85 1925
1926   -10     2   -21       3     2   -39      57    16   -21     0     3   -34   -45   -62 1926
1927   -21   -13   -28     -13   -16   -38       2   -21   -12   -15   -17   -29   -45  -137 1927
1928   -19   -10   -28      -6   -15   -38      72   -17   -22   -16   -15   -27   -48  -211 1928
1929   -36   -34   -37     -37   -28   -45      15   -61   -37   -28   -28   -42   -44  -106 1929
1930   -16    -2   -29       5   -12   -41      54     4   -10   -11   -13   -32   -46  -258 1930
1931    -9     5   -21       1     7   -42      57    -4   -13     9     5   -41   -40   -40 1931
1932   -16    -6   -26       4   -18   -34      49    19   -20   -21   -15   -20   -53   -97 1932
1933   -29   -26   -32     -24   -29   -33     -16   -47   -12   -29   -29   -21   -48  -113 1933
1934   -13     0   -25      18   -26   -25      88    31   -12   -26   -25   -15   -38   -55 1934
1935   -20   -10   -30      -4   -19   -37      35    -5   -16   -17   -21   -30   -41  -170 1935
1936   -15    -3   -26      -2   -13   -29      40    10   -25    -5   -21   -26   -32    -2 1936
1937    -3    12   -17      20    -6   -22     124     2    -2     0   -12   -18   -25    38 1937
1938     0    16   -18      39   -23    -9     151    38     3   -18   -28    -5   -11   -85 1938
